Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-10-01 13:27:05.00,2016-10-01 08:27:05.00,267.0247750878334,46.800042,-92.109821,5,341.5269432067871,3,316.0587881659119,1.100000023841858,1.087385293141931,73.828125,70.58391571044922,71.50563049316406,20,-25.73027506293593
2016-10-01 13:27:10.00,2016-10-01 08:27:10.00,272.0247749686241,46.800080,-92.109761,5,341.9175071716309,3,322.2663975614384,1.179999947547913,1.087385293141931,48.515625,59.55500793457031,60.47672653198242,20,-43.91425938781607
2016-10-01 13:27:15.00,2016-10-01 08:27:15.00,277.0247748494148,46.800106,-92.109704,5,342.3658103942871,3,327.4737779142223,0.9900000095367432,1.087385293141931,49.21875,62.72114181518555,63.64286041259766,20,-111.6181226605597
2016-10-01 13:27:19.52,2016-10-01 08:27:19.52,277.0247748494148,46.800106,-92.109704,5,342.2090721130371,3,327.4737779142223,0.9900000095367432,0.9966666698455811,49.21875,62.72114181518555,63.64286041259766,20,-111.6181226605597
2016-10-01 13:27:21.00,2016-10-01 08:27:21.00,283.0247747898102,46.800135,-92.109638,5,342.4191551208496,3,333.4432710892216,1.080000042915344,0.9966666698455811,45.703125,68.92273712158203,69.84445190429688,20,119.8124827511919
2016-10-01 13:27:25.00,2016-10-01 08:27:25.00,287.0247747302055,46.800146,-92.109572,5,342.0569725036621,3,338.6140957544209,1.100000023841858,0.9966666698455811,76.2890625,80.50909423828125,81.43080902099609,20,130.9818572198434
2016-10-01 13:27:29.00,2016-10-01 08:27:29.00,291.024775147438,46.800146,-92.109506,5,341.7948875427246,3,343.6790220071785,1.240000009536743,0.9966666698455811,94.921875,96.02756500244141,96.94927978515625,20,192.1324107143117
2016-10-01 13:27:33.00,2016-10-01 08:27:33.00,295.0247748494148,46.800138,-92.109437,5,341.7998924255371,3,348.9553316379843,1.25,0.9966666698455811,102.3046875,107.7841033935547,108.7058181762695,20,595.2028436464279
2016-10-01 13:27:34.52,2016-10-01 08:27:34.52,295.0247748494148,46.800138,-92.109437,5,341.7054100036621,3,348.9553316379843,1.25,1.225629437567413,102.3046875,107.7841033935547,108.7058181762695,20,595.2028436464279
2016-10-01 13:27:38.00,2016-10-01 08:27:38.00,300.0247753858566,46.800126,-92.109355,5,341.3406639099121,3,355.3887456208277,1.299999952316284,1.225629437567413,101.6015625,110.4264907836914,111.3482055664062,20,-264.2202269471007
2016-10-01 13:27:42.00,2016-10-01 08:27:42.00,304.0247750878334,46.800114,-92.109290,5,340.9214744567871,3,360.5104235188541,1.230000019073486,1.225629437567413,109.6875,119.6102142333984,120.5319290161133,20,-64.38207479437945
2016-10-01 13:27:47.00,2016-10-01 08:27:47.00,309.0247761011124,46.800092,-92.109216,5,341.5766258239746,3,366.6463169957652,1.190000057220459,1.225629437567413,104.4140625,120.4967727661133,121.4184875488281,20,-39.35296016482464
2016-10-01 13:27:49.52,2016-10-01 08:27:49.52,309.0247761011124,46.800092,-92.109216,5,341.1233787536621,3,366.6463169957652,1.190000057220459,1.172742940363583,104.4140625,120.4967727661133,121.4184875488281,20,-39.35296016482464
2016-10-01 13:27:51.00,2016-10-01 08:27:51.00,313.0247755050659,46.800069,-92.109157,5,340.9200706481934,3,371.8380621428912,1.200000047683716,1.172742940363583,123.3984375,132.1834411621094,133.1051635742188,20,-35.84701769120561
2016-10-01 13:27:56.00,2016-10-01 08:27:56.00,318.0247744321823,46.800034,-92.109099,5,340.8398094177246,3,377.7168317342914,1.009999990463257,1.172742940363583,126.9140625,141.2028656005859,142.1245880126953,20,-30.58035279837911
2016-10-01 13:28:04.00,2016-10-01 08:28:04.00,326.0247749686241,46.799998,-92.109051,5,340.6529197692871,3,383.1525160713002,0.7900000214576721,1.172742940363583,151.875,116.5184326171875,117.4401473999023,20,-27.77404210109699
